brand,data_source,month,vader_score,textblob_score,n_reviews,confidence_flag,conflicting_signal
Caesars Entertainment,app_store,2022-01,0.4871076086956521,0.3904515936721656,92,high,False
Caesars Entertainment,app_store,2022-02,0.41785454545454553,0.3571000230398059,88,high,False
Caesars Entertainment,app_store,2022-03,0.3658451612903226,0.3187639047928788,62,high,False
Caesars Entertainment,app_store,2022-04,0.5118618181818182,0.33029179784861606,55,high,False
Caesars Entertainment,app_store,2022-05,0.3385413043478261,0.24927054577869798,46,high,False
Caesars Entertainment,app_store,2022-06,0.3964951219512196,0.2941854791549913,41,high,False
Caesars Entertainment,app_store,2022-07,0.554651282051282,0.4330634690744985,39,high,False
Caesars Entertainment,app_store,2022-08,0.4122571428571429,0.30199508907098194,42,high,False
Caesars Entertainment,app_store,2022-09,0.37215,0.2564329304954305,18,medium,False
Caesars Entertainment,app_store,2022-10,0.4515076923076924,0.3454175251831502,13,medium,False
Caesars Entertainment,app_store,2022-11,0.5759148148148148,0.40916044399514556,81,high,False
Caesars Entertainment,app_store,2022-12,0.5234030769230769,0.48237500000000005,65,high,False
Caesars Entertainment,app_store,2023-01,0.6833788461538461,0.47031914333698244,52,high,False
Caesars Entertainment,app_store,2023-02,-0.010649999999999988,0.004951462678735404,22,medium,True
Caesars Entertainment,app_store,2023-03,0.37360769230769236,0.18684920634920635,13,medium,False
Caesars Entertainment,app_store,2023-04,0.3939538461538461,0.21188593813593817,13,medium,False
Caesars Entertainment,app_store,2023-05,0.17304166666666668,0.14564221816672798,24,medium,False
Caesars Entertainment,app_store,2023-06,-0.05664615384615383,0.11564239742462398,13,medium,True
Caesars Entertainment,app_store,2023-07,0.3524666666666667,0.27466967960023514,18,medium,False
Caesars Entertainment,app_store,2023-08,0.25439375,0.22728678385416667,16,medium,False
Caesars Entertainment,app_store,2023-09,0.24221388888888887,0.15185811487894824,36,high,False
Caesars Entertainment,app_store,2023-10,0.05195000000000001,0.11743686868686871,22,medium,False
Caesars Entertainment,app_store,2023-11,0.1519181818181818,0.17026515151515148,11,medium,False
Caesars Entertainment,app_store,2023-12,0.28341666666666665,0.11997685185185188,12,medium,False
Caesars Entertainment,app_store,2024-01,0.2740882352941177,0.21867024587612824,17,medium,False
Caesars Entertainment,app_store,2024-02,0.27391,0.26007142857142856,10,medium,False
Caesars Entertainment,app_store,2024-03,0.3757125,0.3650892857142857,8,low,False
Caesars Entertainment,app_store,2024-04,0.4534857142857142,0.28732426303854874,14,medium,False
Caesars Entertainment,app_store,2024-05,0.04915263157894737,0.07718776106934003,19,medium,False
Caesars Entertainment,app_store,2024-06,0.32090869565217395,0.28805006587615284,23,medium,False
Caesars Entertainment,app_store,2024-07,0.23585238095238098,0.2720891690009337,21,medium,False
Caesars Entertainment,app_store,2024-08,0.35823333333333346,0.36573593073593075,15,medium,False
Caesars Entertainment,app_store,2024-09,0.41654285714285716,0.2786456400742115,14,medium,False
Caesars Entertainment,app_store,2024-10,0.25863846153846154,0.18973873348873346,13,medium,False
Caesars Entertainment,app_store,2024-11,0.3272722222222222,0.1104783950617284,18,medium,False
Caesars Entertainment,app_store,2024-12,0.21262941176470587,0.27098039215686276,17,medium,False
Caesars Entertainment,app_store,2025-01,0.28502000000000005,0.3463744588744589,10,medium,False
Caesars Entertainment,app_store,2025-02,0.3232333333333334,0.34078383036716375,12,medium,False
Caesars Entertainment,app_store,2025-03,0.322075,0.2831018518518519,8,low,False
Caesars Entertainment,app_store,2025-04,0.12116363636363636,-0.03460046897546898,11,medium,True
Caesars Entertainment,app_store,2025-05,0.1848,-0.017967171717171725,11,medium,True
Caesars Entertainment,app_store,2025-06,0.07182999999999999,0.05077922077922078,10,medium,False
Caesars Entertainment,app_store,2025-07,0.31794999999999995,0.029816017316017324,8,low,False
Caesars Entertainment,app_store,2025-08,0.33384545454545456,0.18454545454545454,11,medium,False
Caesars Entertainment,app_store,2025-09,0.11013846153846155,0.135536858974359,13,medium,False
Caesars Entertainment,app_store,2025-10,-0.08002999999999999,0.037500000000000006,10,medium,True
Caesars Entertainment,app_store,2025-11,0.03886923076923076,-0.09607892107892109,13,medium,True
Caesars Entertainment,app_store,2025-12,0.26649999999999996,0.3089823633156966,15,medium,False
Caesars Entertainment,app_store,2026-01,0.275575,0.030356691919191926,12,medium,False
Caesars Entertainment,app_store,2026-02,0.07085,0.04438775510204081,14,medium,False
Caesars Entertainment,google_maps,2022-03,-0.019200000000000023,0.1295864898989899,4,low,True
Caesars Entertainment,google_maps,2023-03,0.18172500000000003,0.022812511687801927,16,medium,False
Caesars Entertainment,google_maps,2024-03,0.11946363636363637,0.05877686809342653,11,medium,False
Caesars Entertainment,google_maps,2025-03,-0.020159677419354833,0.05869617671570058,62,high,True
Caesars Entertainment,google_maps,2025-04,-0.035480000000000005,0.04749884716130605,20,medium,True
Caesars Entertainment,google_maps,2025-05,0.25492222222222227,0.1342623383558841,18,medium,False
Caesars Entertainment,google_maps,2025-06,0.37036500000000006,0.11890608653604377,20,medium,False
Caesars Entertainment,google_maps,2025-07,-0.10268421052631577,0.028520559072913204,19,medium,True
Caesars Entertainment,google_maps,2025-08,0.19340370370370372,0.0617997216144554,27,medium,False
Caesars Entertainment,google_maps,2025-09,0.3874947368421053,0.15353937080020003,19,medium,False
Caesars Entertainment,google_maps,2025-10,0.31771818181818184,0.06431646945038913,33,high,False
Caesars Entertainment,google_maps,2025-11,0.34642413793103444,0.13271379065021466,58,high,False
Caesars Entertainment,google_maps,2025-12,0.578666,0.13315385897060955,50,high,False
Caesars Entertainment,google_maps,2026-01,0.24569999999999997,0.07657807018225979,58,high,False
Caesars Entertainment,google_maps,2026-02,0.3138290697674418,0.10461698794033539,86,high,False
Caesars Entertainment,google_maps,2026-03,0.08081666666666666,0.07934259606134607,6,low,False
MGM Resorts,app_store,2022-01,0.3677041666666667,0.312824466224437,120,high,False
MGM Resorts,app_store,2022-02,0.29704396551724127,0.24411277375043539,116,high,False
MGM Resorts,app_store,2022-03,0.22006640625,0.1868906692717728,128,high,False
MGM Resorts,app_store,2022-04,0.20691714285714286,0.19682662614930788,105,high,False
MGM Resorts,app_store,2022-05,0.19965154639175262,0.12346148466292253,97,high,False
MGM Resorts,app_store,2022-06,0.258073786407767,0.20456117062785437,103,high,False
MGM Resorts,app_store,2022-07,0.22879062500000003,0.15059020463811723,128,high,False
MGM Resorts,app_store,2022-08,0.28737142857142856,0.2202327726836655,91,high,False
MGM Resorts,app_store,2022-09,0.09156785714285713,0.14108682281673351,56,high,False
MGM Resorts,app_store,2022-10,0.12879400000000002,0.07544532184085756,100,high,False
MGM Resorts,app_store,2022-11,0.29237843137254904,0.2112792755991285,51,high,False
MGM Resorts,app_store,2022-12,0.3774896551724139,0.31416246827884764,29,medium,False
MGM Resorts,app_store,2023-01,0.172104,0.23627101010101006,25,medium,False
MGM Resorts,app_store,2023-02,0.09075609756097561,0.12555380051133536,41,high,False
MGM Resorts,app_store,2023-03,0.243978,0.17498990425084177,50,high,False
MGM Resorts,app_store,2023-04,0.1335272727272727,0.2681385281385282,22,medium,False
MGM Resorts,app_store,2023-05,0.12703076923076922,0.07040355477855478,26,medium,False
MGM Resorts,app_store,2023-06,0.13549333333333333,0.19447972145699424,30,high,False
MGM Resorts,app_store,2023-07,0.2675709677419355,0.21286384389206972,31,high,False
MGM Resorts,app_store,2023-08,0.009110000000000002,0.0068898809523809555,20,medium,False
MGM Resorts,app_store,2023-09,0.16447916666666665,0.2099782357076482,48,high,False
MGM Resorts,app_store,2023-10,0.18647999999999998,0.2842120535714286,35,high,False
MGM Resorts,app_store,2023-11,-0.05044666666666666,0.06575073009001582,15,medium,True
MGM Resorts,app_store,2023-12,0.19049523809523813,0.15224074074074076,21,medium,False
MGM Resorts,app_store,2024-01,0.006704000000000003,0.1754810966810967,25,medium,False
MGM Resorts,app_store,2024-02,0.129475,0.20912732233044734,16,medium,False
MGM Resorts,app_store,2024-03,0.2070909090909091,0.29906204906204903,11,medium,False
MGM Resorts,app_store,2024-04,0.33759999999999996,0.32987938596491234,19,medium,False
MGM Resorts,app_store,2024-05,0.1838954545454545,0.1724573863636363,22,medium,False
MGM Resorts,app_store,2024-06,0.2965318181818182,0.2792387126762127,22,medium,False
MGM Resorts,app_store,2024-07,0.21025,0.24552083333333335,8,low,False
MGM Resorts,app_store,2024-08,0.2618913043478261,0.24755257554706925,23,medium,False
MGM Resorts,app_store,2024-09,0.2190285714285714,0.16626984126984126,21,medium,False
MGM Resorts,app_store,2024-10,0.19759411764705884,0.16454248366013075,17,medium,False
MGM Resorts,app_store,2024-11,0.43428799999999995,0.31884978354978355,25,medium,False
MGM Resorts,app_store,2024-12,0.18337037037037035,0.19748971193415635,27,medium,False
MGM Resorts,app_store,2025-01,0.27320555555555553,0.19994107744107742,18,medium,False
MGM Resorts,app_store,2025-02,0.15793333333333334,0.1148148148148148,9,low,False
MGM Resorts,app_store,2025-03,0.08987272727272727,0.15726660271546633,22,medium,False
MGM Resorts,app_store,2025-04,-0.21265599999999998,0.031156198893698896,25,medium,True
MGM Resorts,app_store,2025-05,-0.0018931034482758526,-0.03315544608648057,29,medium,False
MGM Resorts,app_store,2025-06,0.0026150000000000006,-0.09063122294372297,20,medium,True
MGM Resorts,app_store,2025-07,0.11643999999999999,0.04086091269841271,25,medium,False
MGM Resorts,app_store,2025-08,0.005589473684210524,0.03743537228487888,19,medium,False
MGM Resorts,app_store,2025-09,0.04594117647058824,0.08984073932603344,17,medium,False
MGM Resorts,app_store,2025-10,-0.3447416666666667,-0.14593900742115032,12,medium,False
MGM Resorts,app_store,2025-11,-0.0019374999999999948,0.06741844465058751,8,low,True
MGM Resorts,app_store,2025-12,-0.10265454545454543,-0.0942655723905724,11,medium,False
MGM Resorts,app_store,2026-01,-0.004484615384615382,-0.006336996336996329,13,medium,False
MGM Resorts,app_store,2026-02,0.28885000000000005,0.29307714045214045,10,medium,False
MGM Resorts,google_maps,2024-03,0.5776470588235293,0.1894635895757992,17,medium,False
MGM Resorts,google_maps,2025-03,0.5118865853658536,0.17493962623819892,82,high,False
MGM Resorts,google_maps,2025-04,0.152875,0.08387816208259678,12,medium,False
MGM Resorts,google_maps,2025-05,0.5032583333333333,0.05842990281343697,12,medium,False
MGM Resorts,google_maps,2025-06,0.23077999999999999,0.05480327538100092,20,medium,False
MGM Resorts,google_maps,2025-07,0.2599090909090909,0.10234235851815923,22,medium,False
MGM Resorts,google_maps,2025-08,0.30443793103448274,0.14628697909603755,29,medium,False
MGM Resorts,google_maps,2025-09,0.3098029411764706,0.1669020124338321,34,high,False
MGM Resorts,google_maps,2025-10,0.36351999999999995,0.12699069787305595,35,high,False
MGM Resorts,google_maps,2025-11,0.3255460317460317,0.1046790716200078,63,high,False
MGM Resorts,google_maps,2025-12,0.4297229508196721,0.12887874998320284,61,high,False
MGM Resorts,google_maps,2026-01,0.4150304878048781,0.14367048084110215,82,high,False
MGM Resorts,google_maps,2026-02,0.5479361111111111,0.1564668429053868,108,high,False
MGM Resorts,google_maps,2026-03,0.6073444444444445,0.2614814814814815,9,low,False
